Date,Bitcoin,Ethereum,Solana
2013-07-22 00:00:00 UTC,90.3672,0.907091628,0.767470465
2013-07-23 00:00:00 UTC,91.7024,1.058541941,0.781187108
2013-07-24 00:00:00 UTC,94.5806,0.95504586,0.692187662
2013-07-25 00:00:00 UTC,94.525,1.002344803,0.708409297
2013-07-26 00:00:00 UTC,96.9499,0.901808661,0.753477255
2013-07-27 00:00:00 UTC,94.13,0.906601137,0.795614168
2013-07-28 00:00:00 UTC,94.005,0.909442199,0.850478339
2013-07-29 00:00:00 UTC,98.5759,0.922482091,0.913637374
2013-07-30 00:00:00 UTC,101.5,1.030499514,0.921534189
2013-07-31 00:00:00 UTC,110.34,0.995802985,1.017526938
2013-08-01 00:00:00 UTC,106.23,0.934834222,1.178753287
2013-08-02 00:00:00 UTC,101.61,0.788761177,1.148356195
2013-08-03 00:00:00 UTC,103.7,0.900742067,1.293547506
2013-08-04 00:00:00 UTC,104.86,0.904081558,0.86891847
2013-08-05 00:00:00 UTC,106.56,0.884228905,0.98182415
2013-08-06 00:00:00 UTC,105.841,0.910825548,0.967318271
2013-08-07 00:00:00 UTC,106.75,0.933840784,0.922438344
2013-08-08 00:00:00 UTC,101.672,0.995273358,0.873058979
2013-08-09 00:00:00 UTC,103.4,0.99442858,0.976392031
2013-08-10 00:00:00 UTC,102.71,0.951471289,1.044724667
2013-08-11 00:00:00 UTC,103.77,0.926803119,1.055806292
2013-08-12 00:00:00 UTC,105.18,0.973572434,0.996204459
2013-08-13 00:00:00 UTC,106.068,0.964738532,1.250866425
2013-08-14 00:00:00 UTC,111.621,0.945220336,1.597026053
2013-08-15 00:00:00 UTC,111.87,0.899361135,1.776955812
2013-08-16 00:00:00 UTC,109.867,0.867707092,1.783963135
2013-08-17 00:00:00 UTC,112.74,0.894874771,1.657191929
2013-08-18 00:00:00 UTC,114.4,0.8707128,1.688418732
2013-08-19 00:00:00 UTC,118.782,0.917398775,1.538097032
2013-08-20 00:00:00 UTC,120.5,0.871744954,1.533137395
2013-08-21 00:00:00 UTC,121.51,0.873600932,1.746015674
2013-08-22 00:00:00 UTC,122.499,0.875003998,1.800363681
2013-08-23 00:00:00 UTC,120,0.822733781,1.897307255
2013-08-24 00:00:00 UTC,120.44,0.824765189,1.761183319
2013-08-25 00:00:00 UTC,122,0.838790951,2.201922492
2013-08-26 00:00:00 UTC,122.04,0.86458373,2.073120413
2013-08-27 00:00:00 UTC,125.67,0.834992487,2.473401784
2013-08-28 00:00:00 UTC,123.02,0.800750284,2.659002831
2013-08-29 00:00:00 UTC,123.44,0.818852709,3.135883739
2013-08-30 00:00:00 UTC,129.2,0.791829348,3.264869118
2013-08-31 00:00:00 UTC,137.76,0.847442242,3.74138793
2013-09-01 00:00:00 UTC,138.17,0.916738942,3.733675413
2013-09-02 00:00:00 UTC,137.17,0.97125831,3.41749722
2013-09-03 00:00:00 UTC,137.51,0.958303174,3.173195437
2013-09-04 00:00:00 UTC,135.21,0.995489835,3.385226728
2013-09-05 00:00:00 UTC,129.96,1.0170637,3.103088944
2013-09-06 00:00:00 UTC,126.13,0.988912442,3.331062075
2013-09-07 00:00:00 UTC,123.73,0.940228325,2.896131068
2013-09-08 00:00:00 UTC,121.77,0.921171783,3.206502582
2013-09-09 00:00:00 UTC,126.4,0.909632917,2.933189414
2013-09-10 00:00:00 UTC,127.78,0.903231643,3.021765596
2013-09-11 00:00:00 UTC,131.65,0.896806287,3.329934051
2013-09-12 00:00:00 UTC,134.22,0.878959313,3.339777044
2013-09-13 00:00:00 UTC,135.05,0.867565455,3.261241607
2013-09-14 00:00:00 UTC,131.39,0.861363016,3.551066941
2013-09-15 00:00:00 UTC,129.95,0.870718344,3.430616122
2013-09-16 00:00:00 UTC,131.48,0.853017865,4.011416157
2013-09-17 00:00:00 UTC,131.31,0.858887087,3.972282229
2013-09-18 00:00:00 UTC,132.06,0.842169613,4.436663533
2013-09-19 00:00:00 UTC,130.23,0.869487811,4.794461849
2013-09-20 00:00:00 UTC,128.57,0.900354302,4.304353616
2013-09-21 00:00:00 UTC,126.78,0.936539968,4.176224469
2013-09-22 00:00:00 UTC,128.37,0.946313343,3.513971152
2013-09-23 00:00:00 UTC,126.73,0.938126162,3.540717454
2013-09-24 00:00:00 UTC,126.09,0.972196976,2.595171711
2013-09-25 00:00:00 UTC,127.99,0.959297835,3.087153752
2013-09-26 00:00:00 UTC,128.02,0.953102241,2.906438018
2013-09-27 00:00:00 UTC,131.84,0.968434012,2.474280635
